NTD ID,Agency,Mode,TOS,UZA Name,1/2019,2/2019,3/2019,4/2019,5/2019,6/2019,7/2019,8/2019,9/2019,10/2019,11/2019,12/2019,1/2020,2/2020,3/2020,4/2020,5/2020,6/2020,7/2020,8/2020,9/2020,10/2020,11/2020,12/2020,1/2021,2/2021,3/2021,4/2021,5/2021,6/2021,7/2021,8/2021,9/2021,10/2021,11/2021,12/2021,1/2022,2/2022,3/2022,4/2022,5/2022,6/2022,7/2022,8/2022,9/2022,10/2022,11/2022,12/2022,1/2023,2/2023,3/2023,4/2023,5/2023,6/2023,7/2023,8/2023,9/2023,10/2023,11/2023,12/2023
10014.0,Worcester Regional Transit Authority,DR,TX,"Worcester, MA--CT","3,657 ","3,563 ","4,453 ","4,456 ","4,504 ","4,006 ","4,223 ","4,416 ","4,664 ","5,137 ","4,665 ","3,727 ","4,416 ","4,128 ","2,328 ",432 ,566 ,"1,231 ","1,434 ","1,712 ","2,018 ","2,011 ","1,893 ","1,932 ","1,499 ","1,800 ","2,384 ","2,543 ","2,906 ","2,797 ","2,990 ","3,478 ","3,671 ","3,494 ","3,655 ","3,726 ","2,665 ","2,914 ","4,102 ","4,129 ","4,241 ","4,429 ","3,954 ","4,581 ","4,935 ","5,022 ","5,576 ","5,503 ","4,567 ","4,390 ","5,546 ","5,418 ","5,608 ","5,681 ","5,185 ","5,899 ","6,334 ","6,912 ","6,417 ","5,205 "
10014.0,Worcester Regional Transit Authority,MB,DO,"Worcester, MA--CT","228,402 ","218,729 ","246,916 ","251,121 ","257,720 ","240,386 ","258,351 ","262,897 ","263,157 ","262,706 ","222,173 ","212,471 ","237,280 ","241,035 ","188,804 ","81,288 ","93,391 ","98,038 ","157,910 ","174,681 ","184,638 ","188,516 ","168,442 ","174,879 ","161,492 ","153,299 ","202,017 ","197,684 ","208,308 ","224,272 ","243,997 ","225,620 ","252,790 ","255,154 ","243,734 ","253,379 ","201,017 ","213,447 ","274,942 ","272,891 ","303,262 ","324,517 ","312,966 ","356,881 ","350,110 ","347,226 ","326,062 ","319,276 ","296,589 ","264,151 ","342,208 ","326,036 ","340,754 ","353,222 ","376,012 ","402,456 ","380,592 ","402,744 ","360,741 ","365,328 "
10014.0,Worcester Regional Transit Authority,MB,PT,"Worcester, MA--CT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10015.0,Lewiston-Auburn Transit Committee,DR,PT,"Lewiston, ME",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10015.0,Lewiston-Auburn Transit Committee,MB,PT,"Lewiston, ME",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10016.0,Greater Portland Transit District,MB,DO,"Portland, ME","164,100 ","156,906 ","182,066 ","183,530 ","186,183 ","165,187 ","161,784 ","167,543 ","200,594 ","208,663 ","175,732 ","159,593 ","173,423 ","158,274 ","119,872 ","40,598 ","44,598 ","44,879 ","76,876 ","91,647 ","101,302 ","79,379 ","69,658 ","65,387 ","64,949 ","60,002 ","74,998 ","71,417 ","75,072 ","82,035 ","84,044 ","87,946 ","114,524 ","110,114 ","101,372 ","90,412 ","77,885 ","87,902 ","112,187 ","99,929 ","102,003 ","98,394 ","92,398 ","105,592 ","128,473 ","128,238 ","118,715 ","108,394 ","111,073 ","104,099 ","137,724 ","132,999 ","148,957 ","145,300 ","135,078 ","152,024 ","173,175 ","166,056 ","152,848 ","134,870 "
10017.0,Greater Hartford Transit District,DR,PT,"Hartford, CT","42,069 ","38,557 ","43,807 ","45,214 ","46,678 ","41,736 ","43,452 ","44,830 ","43,333 ","48,475 ","41,972 ","39,030 ","45,103 ","42,507 ","28,466 ","9,698 ","11,324 ","15,130 ","19,659 ","23,070 ","27,566 ","27,528 ","23,583 ","22,635 ","21,977 ","20,931 ","28,280 ","28,509 ","28,703 ","31,902 ","32,006 ","32,472 ","33,321 ","34,264 ","33,610 ","33,250 ","26,773 ","29,579 ","37,203 ","37,177 ","38,553 ","39,181 ","37,386 ","43,022 ","42,977 ","43,489 ","41,948 ","40,736 ","42,267 ","40,555 ","48,165 ","39,575 ","43,368 ","40,213 ","36,881 ","41,025 ","38,865 ","42,712 ","39,914 ","38,301 "
10017.0,Greater Hartford Transit District,MB,PT,"Hartford, CT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10040.0,Southeast Area Transit District,DR,DO,"Norwich--New London, CT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,315 ,349 ,356 ,383 ,366 ,"1,570 ","2,256 ","3,172 ","3,643 ","3,930 ","4,015 ","4,652 ","4,331 ","3,793 ","4,232 ","4,577 ","4,629 ","5,222 ","5,210 ","5,630 ","5,730 ","3,431 ","3,634 ","3,573 ","3,494 ","4,263 ","4,005 ","4,246 ","3,994 ","3,648 "
10040.0,Southeast Area Transit District,DR,PT,"Norwich--New London, CT",516 ,504 ,579 ,530 ,554 ,511 ,551 ,522 ,501 ,529 ,453 ,349 ,439 ,400 ,278 ,144 ,159 ,292 ,440 ,442 ,425 ,342 ,244 ,296 ,310 ,302 ,344 ,303 ,287 ,287 ,317 ,321 ,372 ,407 ,338 ,327 ,280 ,303 ,369 ,477 ,437 ,495 ,448 ,491 ,557 ,645 ,591 ,543 ,582 ,531 ,649 ,573 ,567 ,539 ,568 ,612 ,620 ,622 ,598 ,500 
10040.0,Southeast Area Transit District,MB,DO,"Norwich--New London, CT","77,612 ","73,636 ","78,124 ","80,950 ","82,838 ","81,783 ","87,274 ","92,791 ","81,584 ","89,080 ","82,128 ","78,511 ","82,679 ","81,546 ","58,111 ","33,446 ","35,348 ","51,268 ","60,853 ","62,230 ","65,163 ","57,420 ","49,447 ","50,405 ","47,842 ","43,359 ","57,298 ","56,252 ","52,762 ","55,571 ","57,583 ","60,594 ","60,896 ","63,455 ","61,753 ","61,400 ","48,928 ","53,931 ","64,928 ","75,201 ","75,584 ","96,495 ","98,133 ","110,930 ","104,661 ","102,470 ","98,410 ","101,735 ","96,577 ","91,507 ","101,759 ","77,816 ","85,700 ","83,182 ","82,359 ","88,656 ","80,952 ","87,826 ","82,548 ","80,138 "
